,content,label
14564,딸이 올해에도 취업하지 못할까봐 걱정돼.,1
48378,친구들과 관계가 멀어진 것 같아. 그래서 학교에서 늘 혼자인 기분이야.,2
14602,그 일만 아니었어도 원하던 대학에 가는 건데.,1
29082,나에겐 아무도 없나 보다. 외롭다.,1
25183,요즘 이렇게 살아도 될지 고민돼.,1
7342,축하합니다~ 축하합니다~,0
39994,관상이 나착해요 말해주자나!!,1
58500,앞으로도 너같은 사람 못만날거같다.,2
55095,코노나로 자식들이 좀처럼 오지않으니 마음이 힘들어.,2
61254,어미 잘못 만나서 인조보형물 모유 먹은 아기가 불쌍하다.,2
1040,옆집 총각이 복지관에 갈 때마다 나를 복지관까지 데려다줘서 차비를 아끼고 있어.,0
3158,주위에서 나를 사십 대로 보지 않고 삼십 대로 봐주니 고마웠어.,0
28610,직장에서 나 자신이 한심하게 느껴지는 일로 고민스러워.,1
41689,니가 말아먹은 돈이나 내 놔라!,1
6050,나는 이번 회식에서 직장 동료들과 더 친해질 수 있을 거라고 믿어.,0
34371,입만 열면 야부리네,1
1242,내 건강관리의 원천은 술과 담배를 안 했기 때문이라고 자신 있게 말할 수 있어.,0
41491,드라마는 꿰뚫고있으면서,1
39588,저런것도 인간이라고...,1
28053,친구가 급하게 돈을 빌려달라네. 당황스럽다.,1
3487,이번 건강 검진 결과가 좋게 나왔어.,0
58776, 전 심리적으로 무지 힘든데 다른분들은 어떤가요?,2
15528,계속 이렇게 생명을 연장하는 것이 맞는지 회의적이야.,1
45201,나는 내조를 한다고 하는데 남편은 맘에 들지 않나 봐.,2
6282,나는 우리 부부관계가 우리나라에서 제일 좋다고 자신해.,0
62377,정말 힘듭니다...,2
30929,내가 따돌림 당하는 사실을 모른 척하는 선생님의 태도가 구역질 나.,1
6551,좋은 회사로 이직하게 됐어.,0
27911,자전거 동호회에 가입해서 내일 처음으로 나가는데 낯가림이 있어서 떨리네.,1
6399,학교 시험을 정말 잘 봤어! 빨리 가족들한테 알려주고 싶어.,0
57313,정말 힘들어. 나는 왜 이것밖에 안되는거지 ?,2
46647,곧 체육대회가 열리는데 난 하고 싶지 않아. 다들 내가 질 거라고 비웃어서 위축돼.,2
1366,친구들끼리 여행을 간다길래 난 빠진다고 했어. 서로 친해지려고 마련한 자리라 이미 친한 나는 빠져도 괜찮을 것 같아.,0
1834,아팠던 동기가 나아서 회사로 돌아왔어. 완쾌해서 정말 다행이야!,0
48659,직장에서 지속적인 성추행을 당하고 있지만 도와주는 사람이 아무도 없어서 힘들어.,2
30524,내가 죽을 때는 아무도 내 죽음을 몰랐으면 좋겠어.,1
6815, 요즘 부쩍.^-^,0
8622,진짜 예쁘시다 딱 내스탈,0
60163,다람쥐랑 토끼가 싫어해요..,2
35708,버스 요금이 ㄷㄷ 하네~~ 이러니까~ 저유가 시대에 차를 끌고 나오는거지~,1
51257,일하다가 온몸이 성한 곳이 없어 아프고 슬퍼.,2
6418,아내에게 최신형 게임기를 사도 된다고 허락 받았어.,0
18721,나 지금 정말 못 견디겠어.,1
1508,드디어 계약직에서 정규직으로 전환이 됐어. 그래서 그런지 마음이 느긋해.,0
51013,재정 문제로 남편과 황혼이혼을 하게 되었어. 너무 우울해.,2
5543,회사 퇴사하고 다른 일을 찾아보려고 했는데 회사 사람들이 붙잡더라고.,0
63435, 차근차근 말하려구해도 상대방은 그렇지 않으니눈물이나게되요,2
9406,대박... ㅎㄷㄷ .갓소라,0
1549,다음 주면 드디어 정규직으로 전환이 돼. 너무 기뻐.,0
40975, 세금 많이 걷어야 또 해외나가겠죠!,1
61304,4지구 아시는 분 한복점 하시는데 맘이 넘 아푸네요 ㅠㅠ,2
62225, 참고로말씀드리자면 장거리입니다...ㅠㅠㅠㅠㅠ,2
40392,우리나라 기사보면 애플은 매번 혁신이 없고 폰 낼 때마다 위기상황이라더니 ㅋㅋㅋ,1
23766,애들이 나를 따돌리고 있어. 내가 학교 폭력 피해자라는 게 한심하게 느껴져.,1
46183,몸도 아픈데 주위 사람들이 없어지니까 마음도 아파.,2
25307,이번 명절에 남편에게 시댁에 가기 싫다고 툴툴댔어. 괜히 미안하네 지금은.,1
17365,몸이 갑자기 안 좋아져 불안해 미치겠어.,1
47312,내년에 결혼하기로 했는데 결혼자금이 부족할 것 같아.,2
8578,머든지 결말이 좋아야하지만 도깨비는 그러기엔 엔딩전까지의 매 화들의 스토리들이 너무 말도안될정도로 작가의 뛰어난 창의력이 매번 돋보였다.,0
42931,진짜 버티는건 너무 파렴치하다!,1
47133,아내와 또 싸웠어. 이번에는 거짓말까지 해버렸어.,2
51596,회사에 중추였던 박 팀장이 사표를 내더니 경쟁사로 가버리니까 배신감에 너무 힘들어.,2
